ticker,n_mu,x,sortino
GLD,18,0.75,0.7796894354001275
GLD,18,1.0,0.9324076269804907
GLD,25,0.0,0.6506250559594419
GLD,25,0.25,0.6282189853933268
GLD,25,0.5,0.7781536986748012
GLD,25,0.75,0.7902782104615732
GLD,25,1.0,0.9324076269804907
GLD,35,0.0,0.5708957638244477
GLD,35,0.25,0.5023665005811466
GLD,35,0.5,0.7246770284530726
GLD,35,0.75,0.7607207076921493
GLD,35,1.0,0.9324076269804907
GLD,50,0.0,0.6131087109759131
GLD,50,0.25,0.5839000111521803
GLD,50,0.5,0.7543008718107455
GLD,50,0.75,0.7419438073524343
GLD,50,1.0,0.9324076269804907
SLV,1,0.0,0.7336428855846115
SLV,1,0.25,0.7213541176566155
SLV,1,0.5,0.7440044933762304
SLV,1,0.75,0.7665083856396208
SLV,1,1.0,0.7708757816165844
SLV,3,0.0,0.6814755966709662
SLV,3,0.25,0.686653852190101
SLV,3,0.5,0.7189445867774248
SLV,3,0.75,0.749360009716901
SLV,3,1.0,0.7708757816165844
SLV,5,0.0,0.670195067838816
SLV,5,0.25,0.6874158793079234
SLV,5,0.5,0.7534481618279192
SLV,5,0.75,0.7713259830712985
SLV,5,1.0,0.7708757816165844
SLV,8,0.0,0.6293835055100047
SLV,8,0.25,0.6732163727154111
SLV,8,0.5,0.7255452835301971
SLV,8,0.75,0.7657172901004922
SLV,8,1.0,0.7708757816165844
SLV,12,0.0,0.6034394692239665
SLV,12,0.25,0.6197653000302612
SLV,12,0.5,0.6726234151419215
SLV,12,0.75,0.7309125203676845
SLV,12,1.0,0.7708757816165844
SLV,18,0.0,0.5844370935049317
SLV,18,0.25,0.6086654729939083
SLV,18,0.5,0.6299185189450377
SLV,18,0.75,0.7141801776732563
SLV,18,1.0,0.7708757816165844
SLV,25,0.0,0.46223108249997075
SLV,25,0.25,0.4485686737385108
SLV,25,0.5,0.5906982749133174
SLV,25,0.75,0.6901422503955335
SLV,25,1.0,0.7708757816165844
SLV,35,0.0,0.5192798235984849
SLV,35,0.25,0.4631846457078795
SLV,35,0.5,0.5885444907575644
SLV,35,0.75,0.6974372555703741
SLV,35,1.0,0.7708757816165844
SLV,50,0.0,0.3955998463684451
SLV,50,0.25,0.5033746281005665
SLV,50,0.5,0.593804793059416
SLV,50,0.75,0.6926677762184782
SLV,50,1.0,0.7708757816165844
