ticker,n_mu,x,sharpe
SLV,1,0.5,0.4828206375283098
SLV,1,0.75,0.507421307735173
SLV,1,1.0,0.5182663247170658
SLV,3,0.0,0.42845085149254564
SLV,3,0.25,0.4309401082838403
SLV,3,0.5,0.4614537591157762
SLV,3,0.75,0.4954911232537098
SLV,3,1.0,0.5182663247170658
SLV,5,0.0,0.4292243602574373
SLV,5,0.25,0.44071542058833363
SLV,5,0.5,0.4983047143613429
SLV,5,0.75,0.5167571700532939
SLV,5,1.0,0.5182663247170658
SLV,8,0.0,0.4100861136665109
SLV,8,0.25,0.44751323210198674
SLV,8,0.5,0.49014386151196526
SLV,8,0.75,0.5174389548304754
SLV,8,1.0,0.5182663247170658
SLV,12,0.0,0.41261648784825544
SLV,12,0.25,0.42572289233916233
SLV,12,0.5,0.4592958260665276
SLV,12,0.75,0.49470708965840465
SLV,12,1.0,0.5182663247170658
SLV,18,0.0,0.40789127503772044
SLV,18,0.25,0.42056335332556244
SLV,18,0.5,0.4202212595304869
SLV,18,0.75,0.48051987762253284
SLV,18,1.0,0.5182663247170658
SLV,25,0.0,0.3073700535763823
SLV,25,0.25,0.2869153112119754
SLV,25,0.5,0.39343666268193705
SLV,25,0.75,0.4630489534477826
SLV,25,1.0,0.5182663247170658
SLV,35,0.0,0.3619059086360315
SLV,35,0.25,0.3031630696931306
SLV,35,0.5,0.4067585753859
SLV,35,0.75,0.47898160806788354
SLV,35,1.0,0.5182663247170658
SLV,50,0.0,0.26984072461625813
SLV,50,0.25,0.3497408519539022
SLV,50,0.5,0.4151440120920618
SLV,50,0.75,0.4766492406793996
SLV,50,1.0,0.5182663247170658
